Name	BIBCode	Title	PubInfo	Citations	date
Rockefeller, Gabriel Matthew	2006PhDT........10R	A comprehensive study of hydrodynamic processes at the Galactic center	PhD Thesis: Proquest Dissertations And Theses 2006. Section 0009, Part 0606 173 pages; [Ph.D. dissertation].United States - - Arizona: The University of Arizona; 2006. Publication Number: AAT 3237876. Source:           DAI-B 67/10, Apr 2007	0	2006
Perkins, Jeremy Shane	2006PhDT........12P	High energy X-ray and gamma-ray observations of galaxy clusters	Proquest Dissertations And Theses 2006.  Section 0252, Part 0606 156 pages; [Ph.D. dissertation].United States -- Missouri: Washington University; 2006. Publication Number: AAT 3223453. Source: DAI-B 67/07, Jan 2007	0	2006
Fields, Dale L.	2006PhDT........14F	Absorption-line measurements of AGN outflows	Proquest Dissertations And Theses 2006.  Section 0168, Part 0606 105 pages; [Ph.D. dissertation].United States -- Ohio: The Ohio State University; 2006. Publication Number: AAT 3230877. Source:           DAI-B 67/08, Feb 2007	0	2006
Collins, Nicholas R.	2006PhDT........16C	Physical conditions in the narrow-line region of Markarian 3	PhD Thesis: Proquest Dissertations And Theses 2006. Section 0043, Part 0606 158 pages; [Ph.D. dissertation].United States -- District of Columbia: The Catholic University of America; 2006. Publication Number: AAT 3214669. Source: DAI-B 67/04, Oct 2006	0	2006
Sivakoff, Gregory Robert	2006PhDT........16S	Low-mass X-ray binaries, diffuse gas, and globular clusters in early-type galaxies	Proquest Dissertations And Theses 2006.  Section 0246, Part 0606 417 pages; [Ph.D. dissertation].United States -- Virginia: University of Virginia; 2006. Publication Number: AAT 3225966. Source:           DAI-B 67/07, Jan 2007	0	2006
Gavriil, Fotis Panagiotis	2006PhDT........18G	Magnetar-like x-ray bursts from anomalous x-ray pulsars	Proquest Dissertations And Theses 2006.  Section 0781, Part 0606 219 pages; [Ph.D. dissertation].Canada: McGill University (Canada); 2006. Publication Number: AAT NR25153. Source: DAI-B 68/03, Sep 2007	0	2006
Gibson, Robert R.	2006PhDT........19G	The variability of warm absorbers in active galactic nuclei	Ph.D., Massachusetts Institute of Technology, 2006; AAT 0818725	0	2006
Marshall, Kevin	2006PhDT........24M	The X-ray variability of Seyfert galaxies	PhD Thesis: Proquest Dissertations And Theses 2006. Section 0079, Part 0606 235 pages; [Ph.D. dissertation].United States -- Georgia: Georgia State University; 2006. Publication Number: AAT 3243241. Source:           DAI-B 67/11, May 2007	0	2006
Leutenegger, Maurice Andrew	2006PhDT........25L	High resolution X-ray spectroscopy of massive stars	PhD Thesis, Proquest Dissertations And Theses 2006. Section 0054, Part 0606 197 pages; [Ph.D. dissertation].United States -- New York: Columbia University; 2006. Publication Number: AAT 3237269. Source:           DAI-B 67/10, Apr 2007	0	2006
Jetha, Nazirah N.	2006PhDT........37J	X-ray and Radio Interactions in Galaxy Groups and Clusters	PhD, University of Birmingham, UK, 2006	0	2006
Zurita Heras, Juan Antonio	2006PhDT.......145Z	Individual studies of newly (re-) discovered galactic sources : a study with INTEGRAL and XMM-Newton	PhD Thesis, University of Geneva, 2006	0	2006
Argiroffi, Costanza	2006PhDT.......189A	Coronal Properties of X-ray bright stars in young associations: abundances, temperatures and variability	Thesis (Ph.D.)-- University of Palermo, 2006. Advisor: Peres, Giovanni	0	2006
Dwelly, Tom	2006PhDT.......194D	The demographics and evolution of the absorbed AGN population	PhD Thesis, UCL, 2006	0	2006
Keil, Ralf	2006PhDT.......294K	X-ray studies of ultraluminous infrared galaxies observed with XMM-Newton	PhD Thesis, University of Hamburg, 2006	0	2006
Bassa, Cornelis Gerrit	2006PhDT.......317B	Optical studies of compact binaries in globular clusters and the Galactic disk	PhD Thesis, Utrecht University, 2006	0	2006
Williams, Rik Jackson	2006PhDT.........1W	The warm-hot environment of the Milky Way	Proquest Dissertations And Theses 2006.  Section 0168, Part 0606 152 pages; [Ph.D. dissertation].United States -- Ohio: The Ohio State University; 2006. Publication Number: AAT 3226436. Source:           DAI-B 67/07, Jan 2007	1	2006
Maddox, Larry Allen	2006PhDT........13M	Multiwavelength analyses of a small sample of nearby spiral galaxies: The radio and X-ray connection	PhD Thesis, Proquest Dissertations And Theses 2006. Section 0169, Part 0606 201 pages; [Ph.D. dissertation].United States -- Oklahoma: The University of Oklahoma; 2006. Publication Number: AAT 3222155. Source: DAI-B 67/06, Dec 2006	1	2006
Barrett, Elizabeth	2006PhDT........21B	The assembly of massive galaxy clusters: A joint X-ray-optical study	PhD Thesis, Proquest Dissertations And Theses 2006. Section 0085, Part 0606 286 pages; [Ph.D. dissertation].United States -- Hawaii: University of Hawai&#39;&#39;i at Manoa; 2006. Publication Number: AAT 3244704. Source:           DAI-B 67/12, Jun 2007	1	2006
Brassington, Nicola J.	2006PhDT.......280B	The Role of Galaxy Interactions	Thesis (Ph.D.)-- University of Birmingham, 2006.	1	2006
Dwelly, T.	2006PhDT.........3D	The demographics and evolution of the absorbed AGN population	Ph.D. thesis, University of London, 2006	2	2006
Greene, Jenny Emma	2006PhDT........12G	The growth of black holes: From primordial seeds to local demographics	PhD Thesis: Proquest Dissertations And Theses 2006. Section 0084, Part 0606 298 pages; [Ph.D. dissertation].United States - - Massachusetts: Harvard University; 2006. Publication Number: AAT 3217740. Source:           DAI-B 67/05, Nov 2006	2	2006
Warren, Jessica Sawyer	2006PhDT........13W	X-ray spectral variations in supernova remnants	Proquest Dissertations And Theses 2006.  Section 0190, Part 0606 138 pages; [Ph.D. dissertation].United States -- New Jersey: Rutgers The State University of New Jersey - New Brunswick; 2006. Publication Number: AAT 3249363. Source: DAI-B 68/01, Jul 2007	2	2006
Bezayiff, Nate	2006PhDT........26B	Mass estimate of black hole candidates GRS 1758-258 and GX 339-4 based on a transition layer model of the accretion disk and a search for x-ray jets in GRS 1758-258	Proquest Dissertations And Theses 2006.  Section 0036, Part 0606 196 pages; [Ph.D. dissertation].United States -- California: University of California, Santa Cruz; 2006. Publication Number: AAT 3241200. Source: DAI-B 67/11, May 2007	3	2006
Bassa, C. G.	2006PhDT.........7B	Optical studies of compact binaries in globular clusters and the Galactic disk	PhD Thesis, Astronomical Institute, Utrecht University, 2006.  158 pages	4	2006
